CELDA;NOMBRE;CONTROLLER;FECHA;RSSI
VA57GU3;RV_VA_SANTANDER;RNC682;2017-08-27;-92.84
SG10WU3;AT_SG_TUNELGUADARRAM;RNC673;2017-08-27;-92.85
AV12WU1;AT_AV_NAVALPERALPINA;RNC673;2017-08-27;-92.92
SA14WU2;SA_RS_CARBAJOSA_CYLX;CYL10R01;2017-08-27;-93.06
LE32PU3;AT_LE_TROBAJO CAMINO;RNC672;2017-08-27;-93.07
LE01IU1;LE_RS_LA VIRGEN DEL ;CYL70R01;2017-08-27;-93.12
SO06WU1;OR_SO_ALCUBILLA_DEL_;RNC674;2017-08-27;-93.21
SA09WU1;SA_RS_CIUDADRODRIGO_;CYL10R01;2017-08-27;-93.27
LE32PU2;AT_LE_TROBAJO CAMINO;RNC672;2017-08-27;-93.44
VA29GU3;AT_VA_ESTADIO;RNC682;2017-08-27;-93.46
SO08SU1;AM_SO_NAVALENO;RNC674;2017-08-27;-93.48
VA12WU2;AT_VA_EMOTUDELA;RNC682;2017-08-27;-93.49
VA25WU1;AT_VA_OLMEDO;RNC682;2017-08-27;-93.53
VA68WU3;AM_VA_LA SECA;RNC682;2017-08-27;-93.54
PX05PU2;AT_P_ASTURIAS;RNC682;2017-08-27;-93.6
AV09WU3;AT_AV_ARENASPEDRO;RNC673;2017-08-27;-93.61
AV32WU1;RV_AV_CASILLAS;RNC673;2017-08-27;-93.75
ZA10RU2;RV_ZA_ZONASANAB;RNC672;2017-08-27;-93.76
LE11IU1;LE_VILLAGER DE LACIA;CYL70R01;2017-08-27;-93.76
SA10WU1;SA_RS_LUMBRALES_CYLX;CYL10R01;2017-08-27;-93.91
VA71WU1;AM_VA_MONTEMAYOR DE ;RNC682;2017-08-27;-94.07
AV20RU1;AM_AV_ALDEAVIEJA;RNC673;2017-08-27;-94.11
SO13WU2;AM_SO_PBAGREDA;RNC674;2017-08-27;-94.12
SA19WU2;SA_RS_ALBATORMES;CYL10R01;2017-08-27;-94.13
LE04WU2;AM_LE_ASTORGA_CYLX17;CYL70R01;2017-08-27;-94.17
PX03PU2;AM_P_FERIAL;RNC682;2017-08-27;-94.3
VA12RU3;AT_VA_ATAQUINES;RNC682;2017-08-27;-94.31
ZA80WU1;ZA_RS_CORRALES_CYLX6;CYL30R01;2017-08-27;-94.33
LE04IU1;LE_RS_MONTEJOS DEL C;CYL70R01;2017-08-27;-94.42
